Vertex ID,DoF ID,Coordinate
0,226,[249.2956543  352.69104004  52.86779022]
1,225,[249.50048828 350.56756592  51.82650757]
2,227,[250.93585205 351.60421753  52.70081711]
3,228,[248.62101746 351.05990601  53.35542679]
4,32,[240.56755066 349.99227905  46.19942093]
5,69,[238.84234619 350.79330444  47.49321365]
6,2018,[241.21054077 351.57620239  47.05818558]
7,31,[241.09698486 349.81573486  47.83852386]
8,499,[241.98997498 341.63027954  55.36883545]
9,500,[240.50642395 343.18963623  56.26832581]
10,330,[240.88848877 343.1567688   54.13429642]
11,501,[242.32833862 343.86740112  56.23307037]
12,255,[242.6191864  351.77789307  54.27342224]
13,342,[241.64549255 352.85339355  56.08788681]
14,254,[241.03956604 352.92803955  54.06738663]
15,343,[243.03297424 352.41079712  55.60755539]
16,805,[260.34597778 357.57608032  50.81093216]
17,806,[259.72290039 356.95309448  49.08950806]
18,804,[260.86990356 355.86386108  50.13241959]
19,666,[258.9944458  356.24264526  50.69649124]
20,1354,[258.12533569 350.16448975  60.3481636 ]
21,1604,[259.76727295 349.84890747  61.36253738]
22,1353,[257.9256897  348.53372192  60.6734581 ]
23,1605,[258.15795898 350.33840942  62.34488678]
24,359,[249.77877808 344.51266479  53.41149139]
25,358,[248.30332947 343.67492676  52.27690125]
26,270,[249.74227905 345.36898804  51.42341614]
27,271,[248.4659729  345.20007324  52.25728607]
28,1651,[252.57167053 355.3918457   66.99499512]
29,1462,[250.34513855 355.41970825  66.87088013]
30,1650,[251.10202026 353.72854614  67.58426666]
31,1652,[251.44392395 356.34945679  67.4046936 ]
32,677,[259.50259399 346.71176147  48.17337799]
33,744,[260.45303345 345.43359375  48.58476639]
34,1980,[261.54519653 347.11196899  49.15829468]
35,678,[260.55761719 348.04177856  47.8726387 ]
36,1244,[251.61712646 349.04623413  62.15418625]
37,1245,[254.07226562 348.42877197  62.0329361 ]
38,1246,[252.09643555 350.6499939   62.02728271]
39,1243,[252.62901306 348.03945923  61.28087234]
40,1672,[252.28466797 359.44802856  64.79251099]
41,1673,[254.1247406  359.58517456  64.38197327]
42,1674,[253.03634644 358.050354    63.34290695]
43,1675,[253.51925659 358.39700317  65.62308502]
44,1436,[250.33757019 341.44586182  62.62269592]
45,1435,[249.67237854 341.13226318  64.28124237]
46,1722,[250.87620544 340.05810547  63.43254471]
47,1437,[249.29348755 339.94940186  63.2829895 ]
48,1993,[263.16943359 349.56365967  63.63983536]
49,1958,[261.96911621 349.76226807  65.34662628]
50,1752,[261.16384888 349.693573    62.72263718]
51,1998,[261.46929932 347.86300659  63.13565826]
52,2085,[235.35809326 353.56268311  59.94465637]
53,1053,[236.34518433 351.9347229   61.50397873]
54,1343,[236.15740967 353.85189819  62.34464645]
55,1054,[237.64172363 353.1401062   61.67202759]
56,46,[245.3625946  346.94622803  48.36445618]
57,126,[245.43533325 344.69436646  49.58354568]
58,47,[245.94555664 345.18237305  47.76303482]
59,48,[244.23277283 345.51040649  48.47115707]
60,1064,[256.07342529 341.95556641  54.17502213]
61,872,[255.108078   343.26928711  55.34628677]
62,1065,[256.80566406 343.30566406  53.84423065]
63,873,[255.32472229 343.22003174  52.88431931]
64,1422,[242.01460266 348.30770874  67.73864746]
65,1421,[241.35151672 346.6395874   66.38941956]
66,1625,[242.6268158  346.52319336  67.6651535 ]
67,1423,[243.41348267 347.61843872  66.02270508]
68,463,[250.46440125 339.40631104  46.72977066]
69,462,[251.82501221 340.73120117  47.88286972]
70,693,[251.81924438 338.21105957  48.64847946]
71,464,[250.05041504 340.38491821  48.25701904]
72,1807,[255.99836731 361.07843018  64.37004089]
73,1806,[255.72846985 360.23797607  65.24777222]
74,1680,[256.21359253 360.0145874   62.89215469]
75,532,[257.34042358 345.38574219  49.12506866]
76,412,[256.06723022 347.21658325  48.90209961]
77,533,[258.20169067 346.94607544  49.40008926]
78,534,[256.92861938 347.46231079  50.24038696]
79,1940,[249.55596924 337.29244995  66.03915405]
80,1599,[250.05938721 338.69934082  64.03125   ]
81,1962,[251.66729736 338.36499023  65.6198349 ]
82,1623,[249.39772034 339.56497192  65.47618103]
83,996,[250.37719727 342.85671997  58.73958588]
84,729,[250.47381592 342.09573364  56.77845764]
85,995,[250.24404907 341.21240234  58.64760971]
86,997,[251.93722534 341.61029053  57.37735748]
87,1812,[256.51522827 354.73379517  68.29113007]
88,1813,[258.45065308 354.24050903  67.67076111]
89,1814,[257.91934204 355.88104248  66.98938751]
90,1815,[256.81951904 354.14291382  66.18491364]
91,1615,[247.66223145 340.68170166  67.79465485]
92,1616,[246.67471313 339.83493042  66.17448425]
93,1433,[247.49363708 341.79342651  65.98405457]
94,1434,[249.35183716 340.96902466  66.61699677]
95,1125,[255.30209351 360.13336182  56.5516777 ]
96,1124,[254.84768677 358.54678345  57.46290588]
97,1402,[255.71218872 359.587677    58.93215179]
98,2098,[256.48022461 360.09188843  57.62731552]
99,1051,[236.91201782 349.92630005  61.13346481]
100,1052,[237.06381226 350.96142578  62.52220535]
101,919,[238.15391541 351.5512085   60.28763199]
102,663,[256.84680176 346.51287842  51.53855133]
103,662,[258.51153564 347.65011597  51.03114319]
104,737,[257.54074097 347.08575439  53.37527847]
105,738,[258.52487183 345.82174683  52.74123383]
106,1001,[256.42330933 342.62908936  56.72102737]
107,1951,[258.10083008 341.02865601  58.25408936]
108,1306,[256.39871216 339.54187012  57.34815216]
109,1973,[258.05355835 342.18981934  56.99829865]
110,145,[250.09321594 342.57531738  45.52573013]
111,146,[250.62557983 344.89904785  47.19232941]
112,144,[249.01167297 344.878479    46.58092117]
113,305,[249.94172668 343.94235229  48.27738953]
114,221,[244.56112671 350.27172852  55.08571625]
115,120,[243.95195007 348.38137817  53.15583038]
116,220,[243.26933289 348.45651245  54.99622345]
117,119,[243.23571777 350.07229614  53.7607193 ]
118,1147,[258.56549072 348.72491455  55.77817917]
119,755,[257.15606689 350.54199219  55.71596146]
120,756,[257.33630371 348.57714844  54.42412949]
121,757,[256.11849976 349.0921936   55.35002899]
122,1340,[237.2844696  354.09378052  64.2541275 ]
123,1341,[239.28448486 354.16247559  63.77728653]
124,1342,[238.10125732 355.39559937  63.42982483]
125,776,[246.6005249  350.58792114  61.28011322]
126,777,[249.16035461 351.78793335  60.76345825]
127,778,[247.30038452 352.36437988  60.88035202]
128,775,[248.20056152 350.13278198  60.15705872]
129,1225,[245.4453125  347.12240601  66.39911652]
130,1424,[244.94909668 348.74398804  67.54460144]
131,1224,[246.6751709  348.60888672  66.61235046]
132,1226,[245.27845764 349.26022339  65.72751617]
133,244,[247.02636719 347.50201416  52.17647552]
134,121,[245.3134613  348.77243042  51.36865234]
135,122,[246.85307312 349.25637817  50.43767548]
136,123,[246.17059326 347.4130249   50.63215637]
137,721,[242.37387085 343.75912476  59.05651855]
138,577,[243.42793274 342.81726074  57.44473267]
139,722,[244.65934753 342.51812744  59.92654419]
140,720,[242.92938232 342.59811401  60.26314545]
141,1834,[254.33079529 356.15679932  68.28160858]
142,1811,[256.22613525 356.86898804  67.2747879 ]
143,1743,[254.10542297 354.17102051  66.42890167]
144,922,[235.41497803 352.61785889  58.38214111]
145,923,[236.81181335 353.98101807  57.52828979]
146,596,[238.19360352 352.03796387  57.74881744]
147,597,[237.11880493 352.57180786  56.18769836]
148,687,[256.28320312 342.36688232  47.9255867 ]
149,688,[256.40206909 342.9576416   50.19816971]
150,689,[255.84230042 341.49441528  49.34180832]
151,855,[257.7605896  341.79879761  49.908535  ]
152,1457,[249.04354858 349.82025146  68.21150208]
153,1458,[250.40895081 351.28164673  67.47094727]
154,1639,[250.75704956 350.1272583   68.90561676]
155,1640,[249.61566162 351.27566528  68.96298981]
156,718,[242.68676758 340.6399231   57.31116867]
157,717,[241.77464294 341.62728882  58.98404312]
158,719,[244.3684082  341.39898682  58.37156677]
159,1131,[251.3165741  357.04501343  58.16590881]
160,1130,[252.99855042 358.88183594  57.31301498]
161,1132,[253.5919342  357.01522827  57.67573547]
162,898,[252.48493958 357.42434692  56.12248993]
16163,748,[242.562163,10,[255.91282654 438.1015930164,1232,[239.62527466 345.47134399  62.51196671]
165,973,[239.31150818 345.18057251  60.93543625]
166,971,[240.60836792 346.61248779  61.25953674]
167,1086,[252.55778503 353.98321533  60.30515289]
168,1085,[254.57978821 353.96182251  59.23139572]
169,1269,[253.93016052 354.9927063   60.42843246]
170,1270,[254.21817017 352.96740723  60.59687042]
171,1033,[247.72428894 356.6882019   61.02720642]
172,1263,[248.5236969  357.58026123  62.12545395]
173,1264,[247.16015625 358.40606689  61.24487305]
174,1262,[247.13722229 356.77310181  62.9806633 ]
175,837,[239.9365387  344.02642822  60.1219902 ]
176,838,[239.08441162 344.98675537  59.07794571]
177,583,[241.05792236 345.26647949  58.34667206]
178,836,[240.2822876  345.99960327  59.61598969]
179,1254,[248.34634399 356.56454468  64.55130768]
180,1545,[247.83992004 358.78793335  65.5980072 ]
181,1544,[247.40197754 357.18164062  66.77239227]
182,1546,[249.01275635 357.95318604  64.93130493]
183,615,[250.13192749 350.42492676  57.11296082]
184,367,[248.85656738 350.7265625   55.58904648]
185,614,[249.40707397 351.87548828  57.48565674]
186,616,[250.30560303 351.28762817  55.5502739 ]
187,1507,[239.39437866 351.8260498   66.12677765]
188,1326,[238.02160645 352.11721802  64.68067932]
189,1325,[241.05397034 351.39852905  64.64176941]
190,1327,[240.29310608 353.11434937  65.02336121]
191,1501,[246.74937439 353.07302856  67.25099945]
192,1258,[244.66107178 352.76116943  67.13922119]
193,1257,[245.73609924 353.25192261  65.68386841]
194,1502,[244.8263092  354.73684692  67.04302979]
195,2062,[243.80221558 354.15289307  50.94780731]
196,2034,[244.23085022 355.33843994  52.8919487 ]
197,2094,[246.09411621 355.28845215  52.00792694]
198,261,[245.35237122 353.66854858  53.02760696]
199,1104,[261.62106323 350.49371338  53.92356491]
200,1103,[260.10006714 349.28164673  54.54955673]
201,1358,[261.81304932 350.12918091  56.09499741]
202,1105,[260.4312439  351.69525146  54.87659836]
203,2031,[244.25965881 357.4732666   64.07441711]
204,1332,[243.8886261  356.27975464  65.44182587]
205,1333,[243.53173828 355.84759521  63.71289444]
206,2025,[242.95271301 357.96203613  65.2617569 ]
207,1800,[252.02514648 358.73620605  67.66047668]
208,1799,[252.61921692 356.91290283  68.35417938]
209,1801,[254.02554321 358.23727417  67.36574554]
210,1669,[252.38446045 356.97531128  65.72187042]
211,361,[250.46583557 347.76309204  53.72612381]
212,360,[250.32441711 346.15689087  52.93090439]
213,243,[248.93482971 347.03591919  51.93600464]
214,362,[249.1000824  347.05331421  54.57499313]
215,998,[252.0836792  340.23434448  56.47114182]
216,999,[253.63922119 340.92446899  56.04807663]
217,731,[251.72041321 341.69958496  55.70074463]
218,1635,[247.71179199 346.95657349  70.38101196]
219,1634,[246.84718323 348.70336914  70.23150635]
220,1636,[246.1709137  347.34356689  69.95313263]
221,1496,[247.6967926  347.84561157  68.07568359]
222,44,[246.50912476 348.58599854  48.35927582]
223,43,[244.0824585  347.86621094  48.69398499]
224,27,[245.4984436  349.65423584  47.70394897]
225,45,[245.39891052 348.34738159  49.53510666]
226,564,[244.70013428 339.11959839  53.7516861 ]
227,354,[246.42010498 340.44961548  52.48877716]
228,565,[246.65141296 339.40655518  54.53662872]
229,355,[245.05966187 341.3157959   53.57531357]
230,1102,[261.18688965 348.03167725  53.35342789]
231,1928,[261.3036499 346.2635498  54.0635376]
232,1929,[259.97442627 346.63882446  52.29470444]
233,1101,[259.69207764 347.5866394   53.51091766]
234,740,[258.67410278 343.47637939  50.50872421]
235,741,[259.35168457 345.36126709  49.80464554]
236,1964,[260.04714966 344.97558594  51.8755188 ]
237,742,[258.29199219 345.76611328  51.063591  ]
238,266,[250.70042419 342.54934692  48.4876976 ]
239,472,[253.58129883 343.19692993  48.32751846]
240,473,[253.49238586 341.50756836  48.9768486 ]
241,474,[253.22828674 341.77148438  47.09896469]
242,610,[251.7636261  352.24655151  55.35095978]
243,611,[252.12272644 353.92999268  54.65951157]
244,782,[252.55793762 352.84173584  56.73169708]
245,612,[250.92294312 353.90438843  55.86439896]
246,1247,[252.11021423 350.84509277  63.69451904]
247,1248,[251.70730591 349.27120972  63.76205444]
248,1520,[253.45584106 349.67144775  63.77005386]
249,42,[242.88853455 346.79718018  48.53442001]
250,13,[243.48638916 348.97229004  47.68651199]
251,14,[244.21839905 347.42617798  46.98167419]
252,450,[254.59414673 346.45690918  51.55792618]
253,527,[255.59776306 347.48052979  52.98272324]
254,528,[253.5083313  347.22570801  53.20399857]
255,529,[254.03591919 345.70593262  52.90114594]
256,352,[243.25001526 341.4359436   51.6541481 ]
257,202,[243.27566528 342.13885498  50.38468552]
258,203,[245.47036743 343.05715942  51.76709366]
259,201,[243.54917908 343.30755615  52.42427063]
260,1317,[247.61737061 350.69927979  66.50128937]
261,1460,[249.72372437 352.97488403  66.37011719]
262,1316,[248.05639648 352.37472534  65.04447174]
263,1459,[248.45324707 351.92263794  68.03821564]
264,1077,[254.84266663 346.50738525  58.35858917]
265,1351,[257.26211548 345.74523926  59.69016266]
266,1076,[256.80514526 346.47958374  57.7418251 ]
267,1078,[256.65603638 347.2718811   59.17837143]
268,153,[253.05886841 352.84436035  48.9610672 ]
269,154,[252.85565186 350.51467896  49.07720566]
270,235,[254.46150208 351.72265625  49.28725815]
271,152,[253.18260193 350.99746704  46.47906113]
272,230,[248.19136047 354.15261841  51.80954742]
273,160,[248.8285675  352.29037476  50.88703918]
274,161,[247.26168823 352.35861206  49.87922287]
275,229,[247.81210327 352.58392334  52.15332031]
276,411,[257.68838501 348.67468262  49.42028809]
277,288,[256.08084106 349.2442627   48.00032806]
278,413,[255.37989807 348.33911133  50.13354874]
